GBPUSD,2019.08.25 11:25:57,出现做多信号
USDCHF,2019.08.22 11:40:02,出现做多信号
ASDCHF,2019.09.26 11:41:00,出现做空信号
BBPUSD,2019.06.26 11:43:51,出现做多信号
CBPUSD,2019.06.26 11:44:37,出现做多信号
DSDCHF,2019.06.26 11:41:00,出现做空信号
EBPUSD,2019.04.26 11:43:51,出现做多信号
FBPUSD,2019.06.26 11:44:37,出现做多信号
GBPUSD,2019.06.26 11:25:57,出现做多信号
USDCHF,2019.06.26 11:40:02,出现做多信号
USDCHF,2019.06.30 11:41:00,出现做空信号
GBPUSD,2019.06.26 11:43:51,出现做多信号
GBPUSD,2019.06.26 11:44:37,出现做多信号
BBPUSD,2019.06.26 11:43:51,出现做多信号
DSDCHF,2019.06.26 11:41:00,出现做空信号
EBPUSD,2019.04.26 11:43:51,出现做多信号
DSDCHF,2019.06.26 11:41:00,出现做空信号
EBPUSD,2019.04.26 11:43:51,出现做多信号
FBPUSD,2019.06.26 11:44:37,出现做多信号
GBPUSD,2019.06.26 11:25:57,出现做多信号
USDCHF,2019.06.26 11:40:02,出现做多信号
USDCHF,2019.06.30 11:41:00,出现做空信号
GBPUSD,2019.06.26 11:43:51,出现做多信号
GBPUSD,2019.06.26 11:44:37,出现做多信号
BBPUSD,2019.06.26 11:43:51,出现做多信号
CBPUSD,2019.06.26 11:44:37,出现做多信号
DSDCHF,2019.06.26 11:41:00,出现做空信号
EBPUSD,2019.04.26 11:43:51,出现做多信号
FBPUSD,2019.06.26 11:44:37,出现做多信号
GBPUSD,2019.06.26 11:25:57,出现做多信号
USDCHF,2019.06.26 11:40:02,出现做多信号
USDCHF,2019.06.30 11:41:00,出现做空信号
GBPUSD,2019.06.26 11:43:51,出现做多信号
GBPUSD,2019.06.26 11:44:37,出现做多信号
BBPUSD,2019.06.26 11:43:51,出现做多信号
DSDCHF,2019.06.26 11:41:00,出现做空信号
EBPUSD,2019.04.26 11:43:51,出现做多信号
DSDCHF,2019.06.26 11:41:00,出现做空信号
EBPUSD,2019.04.26 11:43:51,出现做多信号
FBPUSD,2019.06.26 11:44:37,出现做多信号
GBPUSD,2019.07.01 11:25:57,出现做多信号
USDCHF,2019.06.26 11:40:02,出现做多信号
USDCHF,2019.06.30 11:41:00,出现做空信号
